date,locality,service_type,day_of_week,is_weekend,month,is_monsoon,is_summer,temp_c,rainfall_mm,bookings
2025-01-01,Sector 14,Plumbing,2,0,1,0,0,6.0,0.9,4
2025-01-01,Sector 14,Electrical,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sector 14,AC Repair,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sector 14,Cleaning,2,0,1,0,0,6.0,0.9,6
2025-01-01,Sector 14,Carpentry,2,0,1,0,0,6.0,0.9,1
2025-01-01,Sector 14,Pest Control,2,0,1,0,0,6.0,0.9,2
2025-01-01,Sector 14,Appliance Repair,2,0,1,0,0,6.0,0.9,2
2025-01-01,Sector 21,Plumbing,2,0,1,0,0,6.0,0.9,6
2025-01-01,Sector 21,Electrical,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sector 21,AC Repair,2,0,1,0,0,6.0,0.9,1
2025-01-01,Sector 21,Cleaning,2,0,1,0,0,6.0,0.9,13
2025-01-01,Sector 21,Carpentry,2,0,1,0,0,6.0,0.9,1
2025-01-01,Sector 21,Pest Control,2,0,1,0,0,6.0,0.9,2
2025-01-01,Sector 21,Appliance Repair,2,0,1,0,0,6.0,0.9,4
2025-01-01,DLF Phase 2,Plumbing,2,0,1,0,0,6.0,0.9,5
2025-01-01,DLF Phase 2,Electrical,2,0,1,0,0,6.0,0.9,6
2025-01-01,DLF Phase 2,AC Repair,2,0,1,0,0,6.0,0.9,3
2025-01-01,DLF Phase 2,Cleaning,2,0,1,0,0,6.0,0.9,8
2025-01-01,DLF Phase 2,Carpentry,2,0,1,0,0,6.0,0.9,4
2025-01-01,DLF Phase 2,Pest Control,2,0,1,0,0,6.0,0.9,5
2025-01-01,DLF Phase 2,Appliance Repair,2,0,1,0,0,6.0,0.9,1
2025-01-01,Cyber Hub,Plumbing,2,0,1,0,0,6.0,0.9,4
2025-01-01,Cyber Hub,Electrical,2,0,1,0,0,6.0,0.9,5
2025-01-01,Cyber Hub,AC Repair,2,0,1,0,0,6.0,0.9,7
2025-01-01,Cyber Hub,Cleaning,2,0,1,0,0,6.0,0.9,17
2025-01-01,Cyber Hub,Carpentry,2,0,1,0,0,6.0,0.9,3
2025-01-01,Cyber Hub,Pest Control,2,0,1,0,0,6.0,0.9,4
2025-01-01,Cyber Hub,Appliance Repair,2,0,1,0,0,6.0,0.9,3
2025-01-01,Old Gurugram,Plumbing,2,0,1,0,0,6.0,0.9,11
2025-01-01,Old Gurugram,Electrical,2,0,1,0,0,6.0,0.9,3
2025-01-01,Old Gurugram,AC Repair,2,0,1,0,0,6.0,0.9,4
2025-01-01,Old Gurugram,Cleaning,2,0,1,0,0,6.0,0.9,15
2025-01-01,Old Gurugram,Carpentry,2,0,1,0,0,6.0,0.9,3
2025-01-01,Old Gurugram,Pest Control,2,0,1,0,0,6.0,0.9,2
2025-01-01,Old Gurugram,Appliance Repair,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sohna Road,Plumbing,2,0,1,0,0,6.0,0.9,6
2025-01-01,Sohna Road,Electrical,2,0,1,0,0,6.0,0.9,8
2025-01-01,Sohna Road,AC Repair,2,0,1,0,0,6.0,0.9,5
2025-01-01,Sohna Road,Cleaning,2,0,1,0,0,6.0,0.9,15
2025-01-01,Sohna Road,Carpentry,2,0,1,0,0,6.0,0.9,6
2025-01-01,Sohna Road,Pest Control,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sohna Road,Appliance Repair,2,0,1,0,0,6.0,0.9,2
2025-01-01,Sector 45,Plumbing,2,0,1,0,0,6.0,0.9,13
2025-01-01,Sector 45,Electrical,2,0,1,0,0,6.0,0.9,11
2025-01-01,Sector 45,AC Repair,2,0,1,0,0,6.0,0.9,3
2025-01-01,Sector 45,Cleaning,2,0,1,0,0,6.0,0.9,14
2025-01-01,Sector 45,Carpentry,2,0,1,0,0,6.0,0.9,8
2025-01-01,Sector 45,Pest Control,2,0,1,0,0,6.0,0.9,5
2025-01-01,Sector 45,Appliance Repair,2,0,1,0,0,6.0,0.9,9
2025-01-01,MG Road,Plumbing,2,0,1,0,0,6.0,0.9,10
2025-01-01,MG Road,Electrical,2,0,1,0,0,6.0,0.9,9
2025-01-01,MG Road,AC Repair,2,0,1,0,0,6.0,0.9,4
2025-01-01,MG Road,Cleaning,2,0,1,0,0,6.0,0.9,15
2025-01-01,MG Road,Carpentry,2,0,1,0,0,6.0,0.9,4
2025-01-01,MG Road,Pest Control,2,0,1,0,0,6.0,0.9,2
2025-01-01,MG Road,Appliance Repair,2,0,1,0,0,6.0,0.9,8
2025-01-02,Sector 14,Plumbing,3,0,1,0,0,6.0,8.9,4
2025-01-02,Sector 14,Electrical,3,0,1,0,0,6.0,8.9,7
2025-01-02,Sector 14,AC Repair,3,0,1,0,0,6.0,8.9,3
2025-01-02,Sector 14,Cleaning,3,0,1,0,0,6.0,8.9,2
2025-01-02,Sector 14,Carpentry,3,0,1,0,0,6.0,8.9,3
2025-01-02,Sector 14,Pest Control,3,0,1,0,0,6.0,8.9,2
2025-01-02,Sector 14,Appliance Repair,3,0,1,0,0,6.0,8.9,4
2025-01-02,Sector 21,Plumbing,3,0,1,0,0,6.0,8.9,6
2025-01-02,Sector 21,Electrical,3,0,1,0,0,6.0,8.9,2
2025-01-02,Sector 21,AC Repair,3,0,1,0,0,6.0,8.9,7
2025-01-02,Sector 21,Cleaning,3,0,1,0,0,6.0,8.9,5
2025-01-02,Sector 21,Carpentry,3,0,1,0,0,6.0,8.9,0
2025-01-02,Sector 21,Pest Control,3,0,1,0,0,6.0,8.9,1
2025-01-02,Sector 21,Appliance Repair,3,0,1,0,0,6.0,8.9,2
2025-01-02,DLF Phase 2,Plumbing,3,0,1,0,0,6.0,8.9,9
2025-01-02,DLF Phase 2,Electrical,3,0,1,0,0,6.0,8.9,11
2025-01-02,DLF Phase 2,AC Repair,3,0,1,0,0,6.0,8.9,4
2025-01-02,DLF Phase 2,Cleaning,3,0,1,0,0,6.0,8.9,15
2025-01-02,DLF Phase 2,Carpentry,3,0,1,0,0,6.0,8.9,0
2025-01-02,DLF Phase 2,Pest Control,3,0,1,0,0,6.0,8.9,2
2025-01-02,DLF Phase 2,Appliance Repair,3,0,1,0,0,6.0,8.9,6
2025-01-02,Cyber Hub,Plumbing,3,0,1,0,0,6.0,8.9,9
2025-01-02,Cyber Hub,Electrical,3,0,1,0,0,6.0,8.9,4
2025-01-02,Cyber Hub,AC Repair,3,0,1,0,0,6.0,8.9,1
2025-01-02,Cyber Hub,Cleaning,3,0,1,0,0,6.0,8.9,14
2025-01-02,Cyber Hub,Carpentry,3,0,1,0,0,6.0,8.9,2
2025-01-02,Cyber Hub,Pest Control,3,0,1,0,0,6.0,8.9,2
2025-01-02,Cyber Hub,Appliance Repair,3,0,1,0,0,6.0,8.9,6
2025-01-02,Old Gurugram,Plumbing,3,0,1,0,0,6.0,8.9,7
2025-01-02,Old Gurugram,Electrical,3,0,1,0,0,6.0,8.9,2
2025-01-02,Old Gurugram,AC Repair,3,0,1,0,0,6.0,8.9,7
2025-01-02,Old Gurugram,Cleaning,3,0,1,0,0,6.0,8.9,22
2025-01-02,Old Gurugram,Carpentry,3,0,1,0,0,6.0,8.9,2
2025-01-02,Old Gurugram,Pest Control,3,0,1,0,0,6.0,8.9,2
2025-01-02,Old Gurugram,Appliance Repair,3,0,1,0,0,6.0,8.9,9
2025-01-02,Sohna Road,Plumbing,3,0,1,0,0,6.0,8.9,15
2025-01-02,Sohna Road,Electrical,3,0,1,0,0,6.0,8.9,6
2025-01-02,Sohna Road,AC Repair,3,0,1,0,0,6.0,8.9,11
2025-01-02,Sohna Road,Cleaning,3,0,1,0,0,6.0,8.9,15
2025-01-02,Sohna Road,Carpentry,3,0,1,0,0,6.0,8.9,3
2025-01-02,Sohna Road,Pest Control,3,0,1,0,0,6.0,8.9,4
2025-01-02,Sohna Road,Appliance Repair,3,0,1,0,0,6.0,8.9,7
2025-01-02,Sector 45,Plumbing,3,0,1,0,0,6.0,8.9,15
2025-01-02,Sector 45,Electrical,3,0,1,0,0,6.0,8.9,12
2025-01-02,Sector 45,AC Repair,3,0,1,0,0,6.0,8.9,7
2025-01-02,Sector 45,Cleaning,3,0,1,0,0,6.0,8.9,16
2025-01-02,Sector 45,Carpentry,3,0,1,0,0,6.0,8.9,3
2025-01-02,Sector 45,Pest Control,3,0,1,0,0,6.0,8.9,4
2025-01-02,Sector 45,Appliance Repair,3,0,1,0,0,6.0,8.9,2
2025-01-02,MG Road,Plumbing,3,0,1,0,0,6.0,8.9,11
2025-01-02,MG Road,Electrical,3,0,1,0,0,6.0,8.9,12
2025-01-02,MG Road,AC Repair,3,0,1,0,0,6.0,8.9,5
2025-01-02,MG Road,Cleaning,3,0,1,0,0,6.0,8.9,11
2025-01-02,MG Road,Carpentry,3,0,1,0,0,6.0,8.9,2
2025-01-02,MG Road,Pest Control,3,0,1,0,0,6.0,8.9,5
2025-01-02,MG Road,Appliance Repair,3,0,1,0,0,6.0,8.9,2
2025-01-03,Sector 14,Plumbing,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 14,Electrical,4,0,1,0,0,3.4,0.0,4
2025-01-03,Sector 14,AC Repair,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 14,Cleaning,4,0,1,0,0,3.4,0.0,7
2025-01-03,Sector 14,Carpentry,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 14,Pest Control,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 14,Appliance Repair,4,0,1,0,0,3.4,0.0,0
2025-01-03,Sector 21,Plumbing,4,0,1,0,0,3.4,0.0,6
2025-01-03,Sector 21,Electrical,4,0,1,0,0,3.4,0.0,4
2025-01-03,Sector 21,AC Repair,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 21,Cleaning,4,0,1,0,0,3.4,0.0,11
2025-01-03,Sector 21,Carpentry,4,0,1,0,0,3.4,0.0,2
2025-01-03,Sector 21,Pest Control,4,0,1,0,0,3.4,0.0,4
2025-01-03,Sector 21,Appliance Repair,4,0,1,0,0,3.4,0.0,1
2025-01-03,DLF Phase 2,Plumbing,4,0,1,0,0,3.4,0.0,4
2025-01-03,DLF Phase 2,Electrical,4,0,1,0,0,3.4,0.0,5
2025-01-03,DLF Phase 2,AC Repair,4,0,1,0,0,3.4,0.0,5
2025-01-03,DLF Phase 2,Cleaning,4,0,1,0,0,3.4,0.0,11
